id,service,amount
0,Lavka,255
0,Eda,-255
0,Lavka,914
0,Lavka,674
0,Market,2151
0,Lavka,-315
0,Taxi,-2474
0,Market,-727
0,Taxi,-223
0,Drive,358
0,Taxi,-274
0,Drive,91
0,Market,458
0,Eda,684
0,Eda,359
0,Taxi,429
0,Eda,449
0,Drive,81
0,Drive,-1952
0,Lavka,2290
0,Drive,2733
0,Lavka,-678
0,Taxi,-15
0,Market,1367
0,Market,1651
0,Taxi,-179
0,Eda,-2825
0,Market,-718
0,Market,1481
0,Eda,616
0,Market,-3627
0,Taxi,-1083
0,Drive,508
0,Drive,949
0,Market,-2231
0,Lavka,-340
0,Eda,2404
0,Taxi,-655
0,Drive,-1219
0,Lavka,2418
0,Drive,-2883
0,Drive,-647
0,Eda,1681
1,Lavka,2524
1,Market,-2524
1,Taxi,5517
1,Drive,2738
1,Eda,-634
1,Lavka,682
1,Market,307
1,Drive,580
1,Taxi,-2098
2,Taxi,620
2,Eda,286
2,Lavka,-906
2,Market,222
2,Drive,34
2,Taxi,-255
2,Taxi,-1
2,Lavka,1070
2,Market,127
2,Market,-595
2,Market,-602
2,Drive,1727
2,Drive,-1094
2,Drive,758
2,Eda,-1098
2,Eda,389
2,Eda,282
2,Taxi,232
2,Taxi,-70
2,Market,-615
2,Lavka,201
2,Market,-712
2,Taxi,1330
2,Market,552
2,Taxi,-363
2,Lavka,-1519
2,Market,912
2,Taxi,-191
2,Eda,906
2,Eda,1196
2,Lavka,2302
2,Drive,-520
2,Drive,762
2,Lavka,519
2,Taxi,121
2,Market,190
2,Market,969
2,Lavka,-1876
2,Lavka,-1134
2,Lavka,-76
2,Eda,246
2,Eda,1452
2,Lavka,1483
2,Eda,-1695
2,Drive,735
2,Taxi,5
2,Taxi,1366
2,Lavka,143
2,Lavka,1192
2,Eda,-291
2,Market,1052
2,Taxi,-93
2,Lavka,-3105
2,Drive,2767
2,Eda,-635
2,Drive,292
2,Drive,318
2,Taxi,-985
2,Taxi,-517
2,Taxi,-399
2,Lavka,790
2,Eda,-801
2,Taxi,540
2,Drive,495
2,Market,48
2,Market,1593
2,Drive,-3519
2,Eda,260
2,Lavka,674
2,Market,-1199
2,Lavka,-956
2,Taxi,1140
2,Drive,1054
2,Lavka,-1778
2,Eda,33
2,Eda,911
3,Eda,969
3,Drive,1477
3,Lavka,-4
3,Lavka,-156
3,Lavka,-241
3,Eda,-58
3,Lavka,-810
3,Drive,628
3,Lavka,-178
3,Drive,2400
3,Eda,919
3,Market,-1031
3,Market,638
3,Drive,1395
3,Eda,-2073
3,Drive,2592
3,Taxi,-63
3,Taxi,137
3,Drive,-15
3,Eda,743
4,Drive,990
4,Lavka,-990
4,Taxi,252
4,Taxi,469
4,Drive,1412
4,Drive,1086
4,Drive,-352
4,Market,690
4,Market,-529
4,Lavka,-41
4,Taxi,85
4,Lavka,-35
4,Eda,2683
4,Drive,605
4,Drive,725
4,Drive,189
4,Lavka,-1299
4,Lavka,421
4,Lavka,-258
4,Drive,-259
4,Market,-192
4,Lavka,-108
4,Eda,-78
4,Lavka,5
4,Drive,2284
4,Taxi,-659
4,Taxi,1102
4,Market,299
4,Lavka,-59
4,Eda,421
4,Lavka,1452
4,Market,305
4,Drive,257
4,Lavka,355
4,Drive,36
4,Lavka,1663
4,Lavka,-1386
4,Market,-21
4,Lavka,2579
4,Lavka,2512
4,Drive,1734
4,Eda,-118
4,Lavka,-290
4,Market,226
4,Drive,-949
4,Taxi,350
4,Taxi,-688
4,Drive,410
4,Drive,-197
4,Taxi,2710
4,Market,-439
4,Eda,1055
4,Eda,-1568
4,Market,367
4,Lavka,-533
4,Lavka,1607
4,Lavka,-2883
4,Drive,341
4,Taxi,-44
4,Taxi,-862
4,Lavka,-18
4,Taxi,-387
4,Eda,1882
4,Lavka,1520
4,Drive,1427
4,Eda,3332
4,Lavka,4435
4,Drive,2461
4,Market,-1461
4,Eda,-709
4,Market,2109
4,Lavka,666
4,Taxi,-1458
4,Taxi,1085
4,Drive,2
4,Lavka,97
4,Lavka,-1744
4,Market,-104
4,Lavka,-295
4,Market,-1111
4,Eda,-38
4,Eda,-1564
4,Market,-859
4,Taxi,-959
4,Drive,-320
4,Taxi,-124
4,Lavka,-691
4,Eda,3497
4,Drive,-786
4,Taxi,459
4,Drive,-1845
4,Market,1026
4,Lavka,-647
4,Taxi,-1512
4,Drive,-2770
4,Lavka,-4446
4,Lavka,-412
5,Drive,994
5,Eda,1866
5,Eda,-790
5,Lavka,-1596
5,Drive,-21
5,Eda,544
5,Market,-997
5,Lavka,1763
5,Market,-932
5,Eda,210
5,Taxi,-479
5,Lavka,53
5,Taxi,-615
5,Taxi,1703
5,Taxi,-1143
5,Taxi,1202
5,Eda,593
5,Taxi,-680
5,Drive,-327
5,Market,1413
5,Drive,186
5,Eda,693
5,Market,1112
5,Lavka,254
5,Lavka,1070
5,Taxi,41
5,Market,-29
5,Market,1675
5,Market,1039
5,Market,307
5,Market,908
6,Drive,1356
6,Taxi,-74
6,Lavka,-591
6,Drive,-691
6,Drive,161
6,Market,593
6,Eda,-320
6,Market,835
6,Market,498
6,Taxi,-551
6,Market,2003
6,Eda,-2786
6,Lavka,-433
6,Drive,193
6,Eda,3114
6,Eda,-808
6,Drive,395
6,Lavka,-640
6,Taxi,-920
6,Taxi,4157
6,Eda,-1235
6,Eda,-129
6,Taxi,1618
6,Market,1486
6,Taxi,-1466
6,Lavka,241
6,Lavka,-31
6,Taxi,-2685
6,Eda,1437
6,Taxi,-480
6,Taxi,-2090
6,Eda,-1604
6,Taxi,-553
6,Market,431
6,Eda,1686
6,Lavka,-18
6,Market,960
6,Drive,760
6,Drive,133
6,Eda,128
6,Taxi,-1844
6,Taxi,1205
6,Market,1007
6,Market,341
6,Market,379
6,Taxi,-228
6,Drive,3626
6,Market,520
6,Drive,-1065
6,Lavka,-1482
6,Taxi,-1196
6,Market,-48
6,Taxi,350
6,Market,-17
6,Drive,-482
6,Market,-386
6,Lavka,-2571
6,Taxi,-942
6,Lavka,-285
6,Taxi,475
6,Drive,2065
6,Eda,216
6,Eda,596
6,Taxi,259
6,Lavka,274
6,Eda,-1761
6,Eda,745
6,Market,1998
6,Taxi,210
6,Eda,-673
6,Taxi,-520
6,Lavka,491
7,Market,1283
7,Market,-91
7,Taxi,-113
7,Taxi,-627
7,Market,688
7,Market,89
7,Eda,194
7,Eda,-609
7,Lavka,-707
7,Taxi,303
7,Taxi,1402
7,Taxi,3250
7,Lavka,-545
7,Taxi,-775
7,Eda,733
7,Taxi,387
7,Drive,-1667
7,Drive,-24
7,Lavka,-1181
7,Drive,-1021
7,Eda,1867
7,Taxi,1773
7,Market,-894
7,Lavka,194
7,Lavka,81
8,Eda,21
8,Taxi,167
8,Taxi,-188
8,Lavka,909
8,Lavka,-909
8,Lavka,783
8,Market,257
8,Drive,-1040
8,Market,426
8,Lavka,383
8,Drive,-809
8,Market,2261
8,Drive,1958
9,Lavka,5054
9,Eda,-315
9,Drive,-1678
9,Drive,355
9,Drive,1381
9,Eda,-751
9,Drive,1256
9,Eda,-466
9,Lavka,-103
9,Drive,476
9,Drive,294
9,Taxi,168
9,Taxi,1001
9,Market,-1279
9,Drive,-2855
9,Taxi,140
9,Eda,847
9,Market,884
9,Lavka,1329
9,Taxi,-1088
9,Taxi,660
9,Lavka,-436
9,Taxi,2281
9,Eda,909
9,Market,649
9,Eda,153
9,Eda,-1659
9,Eda,-657
9,Taxi,-1693
9,Drive,121
9,Market,321
9,Taxi,28
9,Eda,-1057
